Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"1439","Afterlight (Adept)","Fusion Rifle","Adaptive Frame","0.01%","∞%"
"1440","Terminus Horizon (Adept)","Machine Gun","High-Impact Frame","0.01%","∞%"
"1441","The Heron","Glaive","Aggressive Glaive","0.01%","∞%"
"1442","Sixth Sense","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1443","Anamnesis (Adept)","Combat Bow","Lightweight Frame","0.01%","∞%"
"1444","Sixth Sense","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1445","Allied Demand","Sidearm","Adaptive Frame","0.01%","∞%"
"1446","Pluperfect","Auto Rifle","High-Impact Frame","0.01%","∞%"
"1447","Prosecutor (Adept)","Auto Rifle","Precision Frame","0.01%","∞%"
"1448","Badlander","Shotgun","Rapid-Fire Frame","0.01%","∞%"
"1449","The Heron","Glaive","Aggressive Glaive","0.01%","∞%"
"1450","Uriel's Gift","Auto Rifle","Precision Frame","0.01%","∞%"
"1451","Hazard of the Cast","Auto Rifle","Precision Frame","0.01%","∞%"
"1452","Cold Denial","Pulse Rifle","High-Impact Frame","0.01%","∞%"
"1453","Through Fire and Flood","Grenade Launcher","Adaptive Frame","0.01%","∞%"
"1454","Division (Adept)","Sidearm","Heavy Burst","0.01%","∞%"
"1455","Fate Cries Foul","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1456","Micromort","Rocket Launcher","Precision Frame","0.01%","∞%"
"1457","Archon's Thunder","Machine Gun","High-Impact Frame","0.01%","∞%"
"1458","Micromort","Rocket Launcher","Precision Frame","0.01%","∞%"
"1459","Uzume RR4","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1460","Last Man Standing","Shotgun","Aggressive Frame","0.01%","∞%"
"1461","Hardline Cut","Sword","Adaptive Frame","0.01%","∞%"
"1462","The Wizened Rebuke","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1463","Warden's Law","Hand Cannon","Heavy Burst","0.01%","∞%"
"1464","The Militia's Birthright","Grenade Launcher","Lightweight Frame","0.01%","∞%"
"1465","Hawthorne's Field-Forged Shotgun","Shotgun","Lightweight Frame","0.01%","∞%"
"1466","Roar of the Bear","Rocket Launcher","High-Impact Frame","0.01%","∞%"
"1467","Mindbender's Ambition (Adept)","Shotgun","Aggressive Frame","0.01%","∞%"
"1468","Ribbontail","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1469","Action Item","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1470","Outlast","Pulse Rifle","Rapid-Fire Frame","0.01%","∞%"
"1471","Uzume RR4","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1472","Anonymous Autumn","Sidearm","Lightweight Frame","0.01%","∞%"
"1473","Sole Survivor","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1474","Love and Death","Grenade Launcher","Rapid-Fire Frame","0.01%","∞%"
"1475","Maahes HC4","Hand Cannon","Heavy Burst","0.01%","∞%"
"1476","Greasy Luck (Adept)","Glaive","Rapid-Fire Glaive","0.01%","∞%"
"1477","A Sudden Death (Adept)","Shotgun","Aggressive Frame","0.00%","∞%"
"1478","Distant Relation","Scout Rifle","Precision Frame","0.00%","∞%"
"1479","Breakneck","Auto Rifle","Precision Frame","0.00%","∞%"
"1480","One Small Step","Shotgun","Rapid-Fire Frame","0.00%","∞%"
"1481","Phoneutria Fera","Hand Cannon","Spread Shot","0.00%","∞%"
"1482","Gunnora's Axe","Shotgun","Pinpoint Slug Frame","0.00%","∞%"
"1483","Wilderflight (Adept)","Grenade Launcher","Double Fire","0.00%","∞%"
"1484","Tusk of the Boar","Grenade Launcher","Wave Frame","0.00%","∞%"
"1485","Sixth Sense","Hand Cannon","Aggressive Frame","0.00%","∞%"
"1486","Romantic Death","Grenade Launcher","Wave Frame","0.00%","∞%"
"1487","Uzume RR4","Sniper Rifle","Adaptive Frame","0.00%","∞%"
"1488","Smuggler's Word","Sidearm","Heavy Burst","0.00%","∞%"
"1489","Exalted Truth","Hand Cannon","Adaptive Frame","0.00%","∞%"
"1490","Line in the Sand","Linear Fusion Rifle","Precision Frame","0.00%","∞%"
"1491","Admetus-D","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1492","Yesterday's Question","Hand Cannon","Heavy Burst","0.00%","∞%"
"1493","Optative","Hand Cannon","Precision Frame","0.00%","∞%"
"1494","Wendigo GL3","Grenade Launcher","Adaptive Frame","0.00%","∞%"
"1495","The Heron","Glaive","Aggressive Glaive","0.00%","∞%"
"1496","Folded Root","Rocket Launcher","Aggressive Frame","0.00%","∞%"
"1497","Romantic Death","Grenade Launcher","Wave Frame","0.00%","∞%"
"1498","Threat Level","Shotgun","Rapid-Fire Frame","0.00%","∞%"
"1499","Folded Root","Rocket Launcher","Aggressive Frame","0.00%","∞%"
"1500","The Militia's Birthright (Adept)","Grenade Launcher","Lightweight Frame","0.00%","∞%"
"1501","New Pacific Epitaph (Adept)","Grenade Launcher","Wave Frame","0.00%","∞%"
"1502","Judgment (Adept)","Hand Cannon","Adaptive Frame","0.00%","∞%"
"1503","Micromort","Rocket Launcher","Precision Frame","0.00%","∞%"
"1504","Liminal Vigil (Adept)","Sidearm","Heavy Burst","0.00%","∞%"
"1505","Long Arm (Adept)","Scout Rifle","Aggressive Frame","0.00%","∞%"
"1506","King Orfeo","Combat Bow","Precision Frame","0.00%","∞%"
"1507","Last Perdition","Pulse Rifle","Adaptive Frame","0.00%","∞%"
"1508","Right Side of Wrong","Pulse Rifle","Aggressive Burst","0.00%","∞%"
"1509","King Orfeo","Combat Bow","Precision Frame","0.00%","∞%"
"1510","Drang (Baroque)","Sidearm","Together Forever","0.00%","∞%"
"1511","Wendigo GL3","Grenade Launcher","Adaptive Frame","0.00%","∞%"
"1512","Patron of Lost Causes","Scout Rifle","Lightweight Frame","0.00%","∞%"
"1513","Pyroclastic Flow","Rocket Launcher","Precision Frame","0.00%","∞%"
"1514","The Hero's Burden","Submachine Gun","Adaptive Frame","0.00%","∞%"
"1515","The Cut and Run","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1516","Ten Paces","Hand Cannon","Adaptive Frame","0.00%","∞%"
"1517","Bad Reputation","Submachine Gun","Precision Frame","0.00%","∞%"
"1518","Traveler's Judgment 5","Sidearm","Adaptive Burst","0.00%","∞%"
"1519","Trachinus","Shotgun","Rapid Fire Slug","0.00%","∞%"
"1520","The Long Goodbye","Sniper Rifle","Adaptive Frame","0.00%","∞%"
"1521","Ether Doctor","Auto Rifle","Adaptive Frame","0.00%","∞%"
"1522","Dream Breaker","Fusion Rifle","Adaptive Frame","0.00%","∞%"
"1523","Tomorrow's Answer (Adept)","Rocket Launcher","High-Impact Frame","0.00%","∞%"
"1524","Exile's Curse (Adept)","Fusion Rifle","High-Impact Frame","0.00%","∞%"
"1525","Antiope-D","Submachine Gun","Precision Frame","0.00%","∞%"
"1526","Insurmountable","Sidearm","Precision Frame","0.00%","∞%"
"1527","Anonymous Autumn","Sidearm","Lightweight Frame","0.00%","∞%"
"1528","Breath of the Dragon","Submachine Gun","Lightweight Frame","0.00%","∞%"
"1529","Nameless Midnight","Scout Rifle","Precision Frame","0.00%","∞%"
"1530","Tempered Dynamo","Fusion Rifle","Precision Frame","0.00%","∞%"
"1531","Fixed Odds","Machine Gun","High-Impact Frame","0.00%","∞%"
"1532","Bite of the Fox","Sniper Rifle","Aggressive Frame","0.00%","∞%"
"1533","Gahlran's Right Hand","Auto Rifle","High-Impact Frame","0.00%","∞%"
"1534","Translation Theory","Sidearm","Adaptive Frame","0.00%","∞%"
"1535","Glissando-47","Scout Rifle","Precision Frame","0.00%","∞%"
"1536","Bane of Sorrow","Machine Gun","High-Impact Frame","0.00%","∞%"
"1537","Astral Horizon (Adept)","Shotgun","Aggressive Frame","0.00%","∞%"
"1538","Relentless (Adept)","Pulse Rifle","High-Impact Frame","0.00%","∞%"
"1539","Jack Queen King 3","Hand Cannon","Adaptive Frame","0.00%","∞%"
"1540","Aurvandil FR6","Fusion Rifle","High-Impact Frame","0.00%","∞%"
"1541","Show of Force XF4865","Sniper Rifle","Aggressive Frame","0.00%","∞%"
"1542","King Orfeo","Combat Bow","Precision Frame","0.00%","∞%"
"1543","Pre Astyanax IV","Combat Bow","Precision Frame","0.00%","∞%"
"1544","CALUS Mini-Tool","Submachine Gun","MIDA Synergy","0.00%","∞%"
"1545","Swift Ride XE8375","Pulse Rifle","Adaptive Frame","0.00%","∞%"
"1546","Hard Truths","Submachine Gun","Aggressive Frame","0.00%","∞%"
"1547","Bellowing Giant","Rocket Launcher","Adaptive Frame","0.00%","∞%"
"1548","Halfdan-D","Auto Rifle","High-Impact Frame","0.00%","∞%"
"1549","Atalanta-D XG1992","Submachine Gun","Precision Frame","0.00%","∞%"
"1550","Imperial Decree","Shotgun","Aggressive Frame","0.00%","∞%"
"1551","Ogma PR6","Pulse Rifle","Lightweight Frame","0.00%","∞%"
"1552","Valakadyn","Auto Rifle","Rapid-Fire Frame","0.00%","∞%"
"1553","The Inquisitor (Adept)","Shotgun","Pinpoint Slug Frame","0.00%","∞%"
"1554","Bad News XF4354","Hand Cannon","Aggressive Frame","0.00%","∞%"
"1555","Dead Man Walking XX7463","Sidearm","Rapid-Fire Frame","0.00%","∞%"
"1556","Does Not Compute","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1557","Pillager","Submachine Gun","Lightweight Frame","0.00%","∞%"
"1558","Trackless Waste","Submachine Gun","Adaptive Frame","0.00%","∞%"
"1559","Elatha FR4","Fusion Rifle","High-Impact Frame","0.00%","∞%"
"1560","Imperative","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1561","Adhortative","Pulse Rifle","Adaptive Frame","0.00%","∞%"
"1562","Buzzard","Sidearm","Adaptive Frame","0.00%","∞%"
"1563","Dreaded Venture","Sniper Rifle","Aggressive Frame","0.00%","∞%"
"1564","Nightshade","Pulse Rifle","Lightweight Frame","0.00%","∞%"
"1565","Live Fire","Scout Rifle","Precision Frame","0.00%","∞%"
"1566","Emperor's Courtesy","Shotgun","Lightweight Frame","0.00%","∞%"
"1567","Persuader","Sniper Rifle","Rapid-Fire Frame","0.00%","∞%"
"1568","Lonesome","Sidearm","Precision Frame","0.00%","∞%"
"1569","Subjunctive","Submachine Gun","Lightweight Frame","0.00%","∞%"
"1570","Tango-45 XK5094","Scout Rifle","Precision Frame","0.00%","∞%"
"1571","Hoosegow XE5837","Rocket Launcher","Adaptive Frame","0.00%","∞%"
"1572","PLUG ONE.1","Fusion Rifle","Precision Frame","0.00%","∞%"
"1573","Gallant Charge","Fusion Rifle","High-Impact Frame","0.00%","∞%"
"1574","Thin Line","Hand Cannon","Aggressive Frame","0.00%","∞%"
"1575","Baligant XU7743","Shotgun","Aggressive Frame","0.00%","∞%"
"1576","Herod-C","Auto Rifle","High-Impact Frame","0.00%","∞%"
"1577","Ded Gramarye IV","Shotgun","Lightweight Frame","0.00%","∞%"
"1578","Warden's Law","Hand Cannon","Heavy Burst","0.00%","∞%"
"1579","Night Watch","Scout Rifle","Lightweight Frame","0.00%","∞%"
"1580","Black Scorpion-4sr","Scout Rifle","Rapid-Fire Frame","0.00%","∞%"
"1581","Bug-Out Bag","Submachine Gun","Adaptive Frame","0.00%","∞%"
"1582","Acantha-D XK8434","Grenade Launcher","Rapid-Fire Frame","0.00%","∞%"
"1583","Good Bone Structure","Shotgun","Pinpoint Slug Frame","0.00%","∞%"
"1584","Origin Story","Auto Rifle","Precision Frame","0.00%","∞%"
"1585","Reed's Regret","Linear Fusion Rifle","Precision Frame","0.00%","∞%"
"1586","The Last Dance","Sidearm","Adaptive Burst","0.00%","∞%"
"1587","Infinite Paths 8","Pulse Rifle","Lightweight Frame","0.00%","∞%"
"1588","Fortissimo-11","Shotgun","Pinpoint Slug Frame","0.00%","∞%"
"1589","Wild Style","Grenade Launcher","Double Fire","0.00%","∞%"
"1590","Wrong Side of Right","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1591","Calusea Noblesse","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1592","Backfang","Glaive","Rapid-Fire Glaive","0.00%","∞%"
"1593","Elegy-49","Sniper Rifle","Adaptive Frame","0.00%","∞%"
"1594","The Epicurean","Fusion Rifle","Precision Frame","0.00%","∞%"
"1595","Loaded Question","Fusion Rifle","High-Impact Frame","0.00%","∞%"
"1596","Cruel Mercy","Pulse Rifle","Heavy Burst","0.00%","∞%"
"1597","Doomsday","Grenade Launcher","Adaptive Frame","0.00%","∞%"
"1598","Just in Case","Sword","Adaptive Frame","0.00%","∞%"
"1599","Proelium FR3","Fusion Rifle","Rapid-Fire Frame","0.00%","∞%"
"1600","Eystein-D","Pulse Rifle","High-Impact Frame","0.00%","∞%"
"1601","Pribina-D","Hand Cannon","Aggressive Frame","0.00%","∞%"
"1602","The Third Axiom","Pulse Rifle","Adaptive Frame","0.00%","∞%"
"1603","The Scholar (Adept)","Scout Rifle","High-Impact Frame","0.00%","∞%"
"1604","Crown-Splitter","Sword","Aggressive Frame","0.00%","∞%"
"1605","Spoiler Alert","Sidearm","Lightweight Frame","0.00%","∞%"
"1606","Bottom Dollar","Hand Cannon","Aggressive Frame","0.00%","∞%"
"1607","Laser Painter","Linear Fusion Rifle","Precision Frame","0.00%","∞%"
"1608","Xenoclast IV","Shotgun","Lightweight Frame","0.00%","∞%"
"1609","Quickfang","Sword","Lightweight Frame","0.00%","∞%"
"1610","Retrofuturist","Shotgun","Lightweight Frame","0.00%","∞%"
"1611","Yesteryear","Pulse Rifle","Adaptive Frame","0.00%","∞%"
"1612","Empty Vessel","Grenade Launcher","Lightweight Frame","0.00%","∞%"
"1613","Eternity's Edge","Sword","Vortex Frame","0.00%","∞%"
"1614","Goldtusk","Sword","Lightweight Frame","0.00%","∞%"
"1615","Throne-Cleaver","Sword","Aggressive Frame","0.00%","∞%"
"1616","Death's Razor","Sword","Adaptive Frame","0.00%","∞%"
